tweet_id,author_id,text,in_response_to_tweet_id,created_at
1106,cust_53,My Spotify won't connect to my Bluetooth speaker anymore,,
1107,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1106,
1108,cust_54,My Spotify won't connect to my Bluetooth speaker anymore,,
1109,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1108,
1110,cust_55,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1111,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1110,
1112,cust_56,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1113,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1112,
1114,cust_57,My Spotify won't connect to my Bluetooth speaker anymore Thanks.,,
1115,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1114,
1116,cust_58,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer Please help!",,
1117,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1116,
1118,cust_59,My Spotify won't connect to my Bluetooth speaker anymore Please help!,,
1119,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1118,
1120,cust_60,"I can't log into my account, it keeps saying wrong password even after reset",,
1121,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1120,
1122,cust_61,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1123,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1122,
1124,cust_62,Why was I charged twice this month for Premium?? Please help!,,
1125,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1124,
1126,cust_63,"I can't log into my account, it keeps saying wrong password even after reset",,
1127,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1126,
1128,cust_64,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer This is so frustrating.",,
1129,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1128,
1130,cust_65,Why was I charged twice this month for Premium??,,
1131,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1130,
1132,cust_66,My Spotify won't connect to my Bluetooth speaker anymore ,,
1133,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1132,
1134,cust_67,Why was I charged twice this month for Premium??,,
1135,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1134,
1136,cust_68,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1137,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1136,
1138,cust_69,Why was I charged twice this month for Premium??,,
1139,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1138,
1140,cust_70,"How do I cancel my subscription, I don't want to be charged again",,
1141,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1140,
1142,cust_71,"Please add a way to sort playlists alphabetically, it would help so much ",,
1143,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1142,
1144,cust_72,"I can't log into my account, it keeps saying wrong password even after reset Please help!",,
1145,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1144,
1146,cust_73,The app keeps crashing every time I try to play a podcast This is so frustrating.,,
1147,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1146,
1148,cust_74,My Spotify won't connect to my Bluetooth speaker anymore Please help!,,
1149,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1148,
1150,cust_75,"Please add a way to sort playlists alphabetically, it would help so much",,
1151,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1150,
1152,cust_76,Why was I charged twice this month for Premium?? Please help!,,
1153,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1152,
1154,cust_77,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer This is so frustrating.",,
1155,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1154,
1156,cust_78,The app keeps crashing every time I try to play a podcast,,
1157,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1156,
1158,cust_79,Why was I charged twice this month for Premium??,,
1159,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1158,
1160,cust_80,"Please add a way to sort playlists alphabetically, it would help so much",,
1161,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1160,
1162,cust_81,My Spotify won't connect to my Bluetooth speaker anymore,,
1163,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1162,
1164,cust_82,Why was I charged twice this month for Premium??,,
1165,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1164,
1166,cust_83,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer Please help!",,
1167,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1166,
1168,cust_84,"I can't log into my account, it keeps saying wrong password even after reset",,
1169,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1168,
1170,cust_85,The app keeps crashing every time I try to play a podcast ,,
1171,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1170,
1172,cust_86,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1173,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1172,
1174,cust_87,"Please add a way to sort playlists alphabetically, it would help so much",,
1175,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1174,
1176,cust_88,"Please add a way to sort playlists alphabetically, it would help so much ",,
1177,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1176,
1178,cust_89,"Please add a way to sort playlists alphabetically, it would help so much Please help!",,
1179,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1178,
1180,cust_90,Why was I charged twice this month for Premium?? ,,
1181,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1180,
1182,cust_91,Why was I charged twice this month for Premium?? Thanks.,,
1183,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1182,
1184,cust_92,"How do I cancel my subscription, I don't want to be charged again Please help!",,
1185,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1184,
1186,cust_93,"How do I cancel my subscription, I don't want to be charged again",,
1187,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1186,
1188,cust_94,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1189,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1188,
1190,cust_95,"I can't log into my account, it keeps saying wrong password even after reset",,
1191,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1190,
1192,cust_96,My Spotify won't connect to my Bluetooth speaker anymore,,
1193,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1192,
1194,cust_97,"I can't log into my account, it keeps saying wrong password even after reset",,
1195,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1194,
1196,cust_98,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer ",,
1197,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1196,
1198,cust_99,"How do I cancel my subscription, I don't want to be charged again ",,
1199,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1198,
1200,cust_100,"I can't log into my account, it keeps saying wrong password even after reset Please help!",,
1201,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1200,
1202,cust_101,"How do I cancel my subscription, I don't want to be charged again ",,
1203,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1202,
1204,cust_102,The app keeps crashing every time I try to play a podcast ,,
1205,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1204,
1206,cust_103,Why was I charged twice this month for Premium?? This is so frustrating.,,
1207,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1206,
1208,cust_104,"I can't log into my account, it keeps saying wrong password even after reset",,
1209,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1208,
1210,cust_105,My Spotify won't connect to my Bluetooth speaker anymore Thanks.,,
1211,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1210,
1212,cust_106,"I can't log into my account, it keeps saying wrong password even after reset ",,
1213,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1212,
1214,cust_107,My Spotify won't connect to my Bluetooth speaker anymore,,
1215,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1214,
1216,cust_108,My Spotify won't connect to my Bluetooth speaker anymore Please help!,,
1217,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1216,
1218,cust_109,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer Please help!",,
1219,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1218,
1220,cust_110,"Please add a way to sort playlists alphabetically, it would help so much",,
1221,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1220,
1222,cust_111,"How do I cancel my subscription, I don't want to be charged again This is so frustrating.",,
1223,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1222,
1224,cust_112,My Spotify won't connect to my Bluetooth speaker anymore,,
1225,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1224,
1226,cust_113,My Spotify won't connect to my Bluetooth speaker anymore Thanks.,,
1227,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1226,
1228,cust_114,The app keeps crashing every time I try to play a podcast Thanks.,,
1229,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1228,
1230,cust_115,Why was I charged twice this month for Premium?? This is so frustrating.,,
1231,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1230,
1232,cust_116,"Please add a way to sort playlists alphabetically, it would help so much",,
1233,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1232,
1234,cust_117,"How do I cancel my subscription, I don't want to be charged again Please help!",,
1235,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1234,
1236,cust_118,"I can't log into my account, it keeps saying wrong password even after reset Please help!",,
1237,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1236,
1238,cust_119,"I can't log into my account, it keeps saying wrong password even after reset",,
1239,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1238,
1240,cust_120,My Spotify won't connect to my Bluetooth speaker anymore Thanks.,,
1241,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1240,
1242,cust_121,"I can't log into my account, it keeps saying wrong password even after reset",,
1243,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1242,
1244,cust_122,The app keeps crashing every time I try to play a podcast ,,
1245,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1244,
1246,cust_123,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1247,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1246,
1248,cust_124,The app keeps crashing every time I try to play a podcast,,
1249,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1248,
1250,cust_125,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1251,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1250,
1252,cust_126,"I can't log into my account, it keeps saying wrong password even after reset",,
1253,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1252,
1254,cust_127,My Spotify won't connect to my Bluetooth speaker anymore Please help!,,
1255,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1254,
1256,cust_128,Why was I charged twice this month for Premium?? Please help!,,
1257,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1256,
1258,cust_129,"Please add a way to sort playlists alphabetically, it would help so much",,
1259,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1258,
1260,cust_130,The app keeps crashing every time I try to play a podcast This is so frustrating.,,
1261,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1260,
1262,cust_131,"Please add a way to sort playlists alphabetically, it would help so much Thanks.",,
1263,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1262,
1264,cust_132,My Spotify won't connect to my Bluetooth speaker anymore Please help!,,
1265,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1264,
1266,cust_133,"I can't log into my account, it keeps saying wrong password even after reset",,
1267,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1266,
1268,cust_134,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer Please help!",,
1269,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1268,
1270,cust_135,The app keeps crashing every time I try to play a podcast,,
1271,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1270,
1272,cust_136,"Please add a way to sort playlists alphabetically, it would help so much",,
1273,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1272,
1274,cust_137,Why was I charged twice this month for Premium??,,
1275,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1274,
1276,cust_138,My Spotify won't connect to my Bluetooth speaker anymore,,
1277,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1276,
1278,cust_139,My Spotify won't connect to my Bluetooth speaker anymore Please help!,,
1279,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1278,
1280,cust_140,"Please add a way to sort playlists alphabetically, it would help so much",,
1281,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1280,
1282,cust_141,My Spotify won't connect to my Bluetooth speaker anymore Thanks.,,
1283,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1282,
1284,cust_142,My Spotify won't connect to my Bluetooth speaker anymore,,
1285,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1284,
1286,cust_143,"How do I cancel my subscription, I don't want to be charged again Thanks.",,
1287,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1286,
1288,cust_144,The app keeps crashing every time I try to play a podcast,,
1289,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1288,
1290,cust_145,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1291,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1290,
1292,cust_146,"I can't log into my account, it keeps saying wrong password even after reset",,
1293,SpotifyCares,"Hi there, sorry about that! Please try resetting your password via open.spotify.com/reset and clear your app cache.",1292,
1294,cust_147,Why was I charged twice this month for Premium??,,
1295,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1294,
1296,cust_148,"Please add a way to sort playlists alphabetically, it would help so much ",,
1297,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1296,
1298,cust_149,My Spotify won't connect to my Bluetooth speaker anymore,,
1299,SpotifyCares,"Try forgetting the device and re-pairing it, and make sure both devices have the latest firmware/app updates.",1298,
1300,cust_150,Why was I charged twice this month for Premium??,,
1301,SpotifyCares,"Hi, we're sorry for the double charge. Please DM us your account email and we'll process a refund within 5-7 days.",1300,
1302,cust_151,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1303,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1302,
1304,cust_152,"How do I cancel my subscription, I don't want to be charged again Thanks.",,
1305,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1304,
1306,cust_153,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1307,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1306,
1308,cust_154,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
1309,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1308,
1310,cust_155,"Please add a way to sort playlists alphabetically, it would help so much",,
1311,SpotifyCares,Thanks for the suggestion! We've passed this along to our product team for consideration.,1310,
1312,cust_156,The app keeps crashing every time I try to play a podcast Please help!,,
1313,SpotifyCares,"Sorry to hear that! Please try updating to the latest app version and restarting your device, let us know if it persists.",1312,
1314,cust_157,"How do I cancel my subscription, I don't want to be charged again",,
1315,SpotifyCares,You can cancel anytime from Account > Subscription > Cancel Premium. You'll keep access until the billing period ends.,1314,
1316,cust_158,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer This is so frustrating.",,
1317,SpotifyCares,We're very sorry -- escalating this to a specialist who will reach out to you directly within 24 hours.,1316,
1318,cust_159,"This is unacceptable, I've been charged $45 and no one is responding, I want a lawyer",,
